# Normalized point-source sensitivity (PSSN) information
# PSSN ~ 1 - alpha * delta^2
# Eq (7.1) in Normalized Point Source Sensitivity for LSST (document-17242)
# It is noted that there are 19 terms of alpha value here for z4-z22 to use.
#   alpha           delta   
6.6906168e-03   2.6353589e+00
9.4460611e-04   5.2758650e+00
9.4460611e-04   5.2758650e+00
6.1240430e-03   1.6866297e+00
6.1240430e-03   1.6866297e+00
1.7516747e-03   5.1471854e+00
1.7516747e-03   5.1471854e+00
4.9218300e-02   8.6355441e-01
9.4518035e-03   1.6866297e+00
9.4518035e-03   1.6866297e+00
3.0979027e-03   2.7012429e+00
3.0979027e-03   2.7012429e+00
4.5078901e-02   4.4213986e-01
4.5078901e-02   4.4213986e-01
1.2438449e-02   1.6866297e+00
1.2438449e-02   1.6866297e+00
4.5678764e-03   1.6866297e+00
4.5678764e-03   1.6866297e+00
3.6438430e-01   2.8296951e-01
