# This file list the sensor Id and abbreviated name.
# The reason for this file is to map the sensor ID (SAL communication) with the name.
# sensorId   sensorName
0       R00_S12
1       R00_S21
2       R00_S22
3       R01_S00
4       R01_S01
5       R01_S02
6       R01_S10
7       R01_S11
8       R01_S12
9       R01_S20
10      R01_S21
11      R01_S22
12      R02_S00
13      R02_S01
14      R02_S02
15      R02_S10
16      R02_S11
17      R02_S12
18      R02_S20
19      R02_S21
20      R02_S22
21      R03_S00
22      R03_S01
23      R03_S02
24      R03_S10
25      R03_S11
26      R03_S12
27      R03_S20
28      R03_S21
29      R03_S22
30      R04_S10
31      R04_S20
32      R04_S21
33      R10_S00
34      R10_S01
35      R10_S02
36      R10_S10
37      R10_S11
38      R10_S12
39      R10_S20
40      R10_S21
41      R10_S22
42      R11_S00
43      R11_S01
44      R11_S02
45      R11_S10
46      R11_S11
47      R11_S12
48      R11_S20
49      R11_S21
50      R11_S22
51      R12_S00
52      R12_S01
53      R12_S02
54      R12_S10
55      R12_S11
56      R12_S12
57      R12_S20
58      R12_S21
59      R12_S22
60      R13_S00
61      R13_S01
62      R13_S02
63      R13_S10
64      R13_S11
65      R13_S12
66      R13_S20
67      R13_S21
68      R13_S22
69      R14_S00
70      R14_S01
71      R14_S02
72      R14_S10
73      R14_S11
74      R14_S12
75      R14_S20
76      R14_S21
77      R14_S22
78      R20_S00
79      R20_S01
80      R20_S02
81      R20_S10
82      R20_S11
83      R20_S12
84      R20_S20
85      R20_S21
86      R20_S22
87      R21_S00
88      R21_S01
89      R21_S02
90      R21_S10
91      R21_S11
92      R21_S12
93      R21_S20
94      R21_S21
95      R21_S22
96      R22_S00
97      R22_S01
98      R22_S02
99      R22_S10
100     R22_S11
101     R22_S12
102     R22_S20
103     R22_S21
104     R22_S22
105     R23_S00
106     R23_S01
107     R23_S02
108     R23_S10
109     R23_S11
110     R23_S12
111     R23_S20
112     R23_S21
113     R23_S22
114     R24_S00
115     R24_S01
116     R24_S02
117     R24_S10
118     R24_S11
119     R24_S12
120     R24_S20
121     R24_S21
122     R24_S22
123     R30_S00
124     R30_S01
125     R30_S02
126     R30_S10
127     R30_S11
128     R30_S12
129     R30_S20
130     R30_S21
131     R30_S22
132     R31_S00
133     R31_S01
134     R31_S02
135     R31_S10
136     R31_S11
137     R31_S12
138     R31_S20
139     R31_S21
140     R31_S22
141     R32_S00
142     R32_S01
143     R32_S02
144     R32_S10
145     R32_S11
146     R32_S12
147     R32_S20
148     R32_S21
149     R32_S22
150     R33_S00
151     R33_S01
152     R33_S02
153     R33_S10
154     R33_S11
155     R33_S12
156     R33_S20
157     R33_S21
158     R33_S22
159     R34_S00
160     R34_S01
161     R34_S02
162     R34_S10
163     R34_S11
164     R34_S12
165     R34_S20
166     R34_S21
167     R34_S22
168     R40_S01
169     R40_S02
170     R40_S12
171     R41_S00
172     R41_S01
173     R41_S02
174     R41_S10
175     R41_S11
176     R41_S12
177     R41_S20
178     R41_S21
179     R41_S22
180     R42_S00
181     R42_S01
182     R42_S02
183     R42_S10
184     R42_S11
185     R42_S12
186     R42_S20
187     R42_S21
188     R42_S22
189     R43_S00
190     R43_S01
191     R43_S02
192     R43_S10
193     R43_S11
194     R43_S12
195     R43_S20
196     R43_S21
197     R43_S22
198     R44_S00
199     R44_S01
200     R44_S10
