# Calculated degree of freedom (DOF).
# There are 50 terms here.
# From up to down, they are (1) M2 dz, dx, dy in um, (2) M2 rx, ry in arcsec, 
# (3) Cam dz, dx, dy in um, (4) Cam rx, ry in arcsec, (5) 20 M1M3 bending mode in um, 
# (6) 20 M2 bending mode in um.

# Index_of_DOF_in_PhoSim  Value
5 -10.8374 
6 -2.3316 
7  1.1511 
8  0.3314 
9  0.3269 
10 -31.6980 
11  0.1585 
12 -1.2398 
13  1.8158 
14  0.4045 
15  0.1707 
16 -0.7051 
17 -0.0230 
18 -0.0112 
19  0.0116 
20  0.0061 
21 -0.0152 
22  0.0024 
23  0.0187 
24 -0.0026 
25 -0.0101 
26 -0.0034 
27  0.0067 
28  0.0013 
29 -0.0006 
30 -0.0030 
31  0.0021 
32  0.0001 
33 -0.0002 
34  0.0002 
35  0.0902 
36 -0.2210 
37 -0.0322 
38 -0.0070 
39 -0.0375 
40  0.0566 
41  0.0009 
42  0.0024 
43  0.0013 
44  0.0121 
45 -0.0026 
46  0.0020 
47  0.0041 
48 -0.0006 
49  0.0032 
50 -0.0004 
51  0.0001 
52  0.0000 
53  0.0000 
54  0.0006 
