# Coefficients
# Acquisition 	2017/10/06 16:20:27.340
# Save 	2017/10/06 16:20:27.340

# ASO Size : 128 x 128; ASO Step : 114.007942 um x 114.008202 um
# Pupil Center (x, y) : (0.057004 mm x 0.057004 mm) ; Pupil radius : 7.296508 mm; PV Zernike normalization

# Obscuration 0.61
# Surface_Fitting_Error(nm) 1.3e-3
# N0     Value(nm)     AnZernike_Fitting_Error(nm)
1      200           1e-4
2      100           1e-4
3      300           1e-4
4     1000           1e-4
5      200           1e-4
6      100           1e-4
7      600           1e-4
8      700           1e-4
9      400           1e-4
10     200           1e-4
11     400           1e-4
12     200           1e-4 
13     300           1e-4 
14     100           1e-4 
15     100           1e-4 
16     100           1e-4 
17     100           1e-4 
18     100           1e-4 
19     100           1e-4 
20     100           1e-4 
21     100           1e-4 
22     100           1e-4
