# Calculated degree of freedom (DOF).
# There are 50 terms here.
# From up to down, they are (1) M2 dz, dx, dy in um, (2) M2 rx, ry in arcsec, 
# (3) Cam dz, dx, dy in um, (4) Cam rx, ry in arcsec, (5) 20 M1M3 bending mode in um, 
# (6) 20 M2 bending mode in um.

# Index_of_DOF_in_PhoSim  Value
5 -16.0367 
6 -1.3495 
7  2.6511 
8  0.2607 
9  0.7057 
10 -36.3131 
11  3.9930 
12  0.6636 
13 -1.2466 
14  0.2791 
15  0.2779 
16  0.1655 
17  0.0471 
18 -0.0215 
19  0.0246 
20  0.0166 
21  0.0389 
22  0.0015 
23 -0.0080 
24  0.0001 
25 -0.0023 
26 -0.0219 
27 -0.0039 
28  0.0047 
29 -0.0010 
30  0.0007 
31 -0.0081 
32 -0.0080 
33 -0.0007 
34  0.0010 
35 -0.0097 
36  0.1448 
37  0.0633 
38 -0.0357 
39 -0.0832 
40 -0.0470 
41  0.0062 
42 -0.0038 
43 -0.0076 
44 -0.0001 
45 -0.0011 
46  0.0074 
47 -0.0012 
48  0.0112 
49 -0.0106 
50 -0.0019 
51  0.0019 
52  0.0017 
53 -0.0007 
54  0.0021 
